Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDA15,4054.0,OUT049
DRC01,568.0,OUT018
FDN15,2366.0,OUT049
FDX07,1010.0,OUT010
NCD19,896.0,OUT013
FDP36,620.0,OUT018
FDO10,1032.0,OUT013
FDP10,3170.0,OUT027
FDH17,1552.0,OUT045
FDU28,3122.0,OUT017
FDY07,866.0,OUT049
FDA03,2342.0,OUT046
FDX32,2450.0,OUT049
FDS46,1962.0,OUT046
FDF32,3140.0,OUT013
FDP49,974.0,OUT046
NCB42,1558.0,OUT018
FDP49,1042.0,OUT049
DRI11,3262.0,OUT027
FDU02,3796.0,OUT035
FDN22,4008.0,OUT013
FDW12,3802.0,OUT027
NCB30,3252.0,OUT035
FDC37,-156.0,OUT019
FDR28,2670.0,OUT046
NCD06,850.0,OUT017
FDV10,916.0,OUT035
DRJ59,688.0,OUT013
FDE51,-1128.0,OUT010
FDC14,-1116.0,OUT019
FDV38,-1016.0,OUT010
NCS17,1246.0,OUT018
FDP33,3770.0,OUT018
FDO23,1444.0,OUT045
DRH01,2754.0,OUT046
NCX29,2410.0,OUT049
FDV20,3542.0,OUT027
DRZ11,1702.0,OUT018
FDX10,2110.0,OUT027
FDB34,2878.0,OUT027
FDU02,3638.0,OUT046
FDK43,2056.0,OUT013
FDA46,3146.0,OUT049
FDC02,3820.0,OUT018
FDL50,2096.0,OUT013
FDM39,910.0,OUT010
NCP05,2352.0,OUT045
FDV49,4136.0,OUT045
FDL12,1026.0,OUT046
FDS02,1228.0,OUT019
NCL17,2270.0,OUT046
FDM40,2268.0,OUT013
FDR13,1956.0,OUT013
FDA43,3226.0,OUT017
NCP18,2506.0,OUT017
FDK21,3670.0,OUT018
NCX54,1624.0,OUT045
DRK35,734.0,OUT049
FDY21,3062.0,OUT046
FDI26,968.0,OUT019
FDM20,3624.0,OUT018
FDV27,1404.0,OUT045
FDF09,2114.0,OUT027
FDY40,-1020.0,OUT019
FDY45,5498.0,OUT027
FDC46,998.0,OUT010
FDH19,2908.0,OUT035
FDZ03,2928.0,OUT045
DRH37,2548.0,OUT045
NCI17,1506.0,OUT046
FDJ58,2734.0,OUT046
FDL12,1032.0,OUT013
FDH35,2560.0,OUT045
FDG02,3130.0,OUT017
NCZ18,4066.0,OUT049
FDC29,1882.0,OUT046
FDQ10,2846.0,OUT049
FDN48,-444.0,OUT019
FDL04,1790.0,OUT017
FDV25,3464.0,OUT045
FDD58,1646.0,OUT046
FDN04,2914.0,OUT046
FDV45,2706.0,OUT018
NCL18,1116.0,OUT019
FDR12,4222.0,OUT027
FDG20,2946.0,OUT017
FDZ55,2736.0,OUT035
FDQ49,3978.0,OUT027
FDN33,1578.0,OUT046
FDN27,1982.0,OUT049
FDW20,44.0,OUT010
DRG27,754.0,OUT049
DRI25,844.0,OUT045
FDA44,1116.0,OUT035
NCR17,1980.0,OUT035
FDU04,44.0,OUT019
FDF41,3970.0,OUT049
FDB56,3172.0,OUT035
NCP18,3820.0,OUT027
FDB56,3018.0,OUT046
FDT28,2348.0,OUT045
FDD10,4330.0,OUT027
FDW57,2974.0,OUT049
DRB48,716.0,OUT013
FDP09,3084.0,OUT018
FDH14,2324.0,OUT013
FDA47,2652.0,OUT013
FDG12,1928.0,OUT045
DRE60,1612.0,OUT019
DRK49,720.0,OUT013
FDD03,3674.0,OUT046
FDS52,1778.0,OUT017
FDW39,956.0,OUT019
FDX34,3402.0,OUT027
FDV11,2736.0,OUT045
FDD17,3886.0,OUT049
FDZ16,3178.0,OUT017
FDZ46,1916.0,OUT035
DRA12,2342.0,OUT017
FDY58,3320.0,OUT018
NCF19,886.0,OUT017
DRJ13,2456.0,OUT045
FDB14,-406.0,OUT010
FDJ38,3224.0,OUT035
FDW11,1146.0,OUT017
FDL40,1708.0,OUT035
DRI49,1298.0,OUT046
FDV38,978.0,OUT017
DRG23,2428.0,OUT013
NCP30,600.0,OUT045
FDY25,4326.0,OUT027
NCH54,2522.0,OUT046
NCR53,4954.0,OUT027
FDS52,-262.0,OUT010
FDG02,2728.0,OUT018
NCO26,1838.0,OUT046
FDH35,4082.0,OUT027
FDB51,948.0,OUT045
FDX44,1586.0,OUT017
NCN07,168.0,OUT010
NCC31,2608.0,OUT035
NCX54,1782.0,OUT017
NCO55,1608.0,OUT045
NCC30,2898.0,OUT049
FDI16,1084.0,OUT035
FDP16,3994.0,OUT049
FDB11,3748.0,OUT035
NCB06,2684.0,OUT035
FDA45,2968.0,OUT035
NCO26,2020.0,OUT035
DRJ25,918.0,OUT017
FDR28,2340.0,OUT018
FDI04,2892.0,OUT018
DRK12,1982.0,OUT027
FDX20,3586.0,OUT046
NCI18,3238.0,OUT018
FDB36,1886.0,OUT018
FDN13,1702.0,OUT017
DRD24,2354.0,OUT017
FDQ28,2528.0,OUT013
FDM22,980.0,OUT013
FDR07,3014.0,OUT027
FDV25,3250.0,OUT018
DRF49,1822.0,OUT046
FDW51,3434.0,OUT046
DRL01,3818.0,OUT017
FDP25,3550.0,OUT017
FDL50,1770.0,OUT018
NCB30,4582.0,OUT027
FDW11,748.0,OUT018
NCM43,2764.0,OUT035
FDK44,2850.0,OUT017
FDM15,2484.0,OUT013
FDS31,2912.0,OUT013
FDI32,-116.0,OUT010
FDR47,1198.0,OUT010
FDB35,1480.0,OUT045
NCU05,-628.0,OUT010
DRY23,-1180.0,OUT019
FDO24,2424.0,OUT045
FDQ28,3930.0,OUT027
FDV39,3096.0,OUT045
NCO17,-40.0,OUT019
FDU50,1880.0,OUT013
FDT12,5078.0,OUT027
FDK58,1380.0,OUT018
FDO08,776.0,OUT019
NCW29,2166.0,OUT049
FDE04,2840.0,OUT045
NCB19,1450.0,OUT049
FDV15,1758.0,OUT049
FDL58,4318.0,OUT049
FDA08,2592.0,OUT045
FDT43,568.0,OUT018
NCX06,4330.0,OUT027
FDT20,650.0,OUT046
FDB41,834.0,OUT046
NCN55,3846.0,OUT049
FDE40,2518.0,OUT027
FDX49,5158.0,OUT027
NCM53,1600.0,OUT045
FDE36,2784.0,OUT035
FDN57,2180.0,OUT045
FDI24,4274.0,OUT027
FDI19,3838.0,OUT046
FDF24,-546.0,OUT010
FDG52,866.0,OUT049
DRF36,2936.0,OUT045
FDS45,-124.0,OUT019
FDX40,-1262.0,OUT010
DRK12,724.0,OUT035
DRC27,4020.0,OUT035
FDL58,4314.0,OUT017
NCD30,1472.0,OUT045
NCZ54,624.0,OUT010
FDE10,190.0,OUT010
FDR44,226.0,OUT010
FDP28,2212.0,OUT010
FDX15,2564.0,OUT013
FDA39,848.0,OUT035
FDY24,1010.0,OUT049
FDC60,1578.0,OUT017
FDH28,666.0,OUT046
FDT25,2066.0,OUT017
DRJ13,2584.0,OUT013
NCO07,1444.0,OUT019
FDW20,2020.0,OUT013
DRF27,520.0,OUT019
FDS49,1460.0,OUT035
FDX25,4330.0,OUT027
NCX42,4070.0,OUT027
FDG33,4182.0,OUT027
FDL56,1328.0,OUT045
FDF14,2600.0,OUT035
NCD06,726.0,OUT046
DRM47,4498.0,OUT027
FDS46,48.0,OUT019
FDB35,1572.0,OUT013
FDX21,3214.0,OUT027
NCU05,2726.0,OUT027
