Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1785.4095238095238,OUT049
FDW14,1488.45,OUT017
NCN55,1835.7041420118344,OUT010
FDQ58,2703.607843137255,OUT017
FDY38,5204.5931034482755,OUT027
FDH56,1829.5238095238096,OUT046
FDL48,478.0571428571429,OUT018
FDC48,2978.6666666666665,OUT027
FDN33,1598.979020979021,OUT045
FDA36,3072.776119402985,OUT017
FDT44,2000.2307692307693,OUT017
FDQ56,1420.0,OUT045
NCC54,1835.7041420118344,OUT019
FDU11,2070.6603773584907,OUT049
DRL59,955.2878787878788,OUT013
FDM24,2434.625,OUT049
FDI57,3209.837837837838,OUT045
DRC12,2927.6256684491977,OUT018
NCM42,3412.3194444444443,OUT027
FDA46,1037.3128205128205,OUT010
FDA31,2687.0365853658536,OUT013
NCJ31,3846.587155963303,OUT035
FDG52,873.2517006802722,OUT046
NCL19,70.48837209302326,OUT019
FDS10,2932.3086419753085,OUT035
FDX22,1835.7041420118344,OUT010
NCF19,873.2517006802722,OUT035
NCE06,2535.0666666666666,OUT046
DRC27,3846.587155963303,OUT046
FDE21,2000.2307692307693,OUT035
NCR42,-1198.6923076923076,OUT019
FDX51,2927.6256684491977,OUT018
NCR06,478.0571428571429,OUT018
FDU31,5204.5931034482755,OUT027
FDU59,2703.607843137255,OUT017
FDR03,4384.108695652174,OUT027
FDS49,2978.6666666666665,OUT027
FDD48,70.48837209302326,OUT010
NCF18,3155.839285714286,OUT017
NCD43,2978.6666666666665,OUT027
NCD54,2206.1565217391303,OUT018
FDY19,70.48837209302326,OUT010
NCY54,2932.3086419753085,OUT017
NCL19,2206.1565217391303,OUT018
FDP23,1835.7041420118344,OUT010
FDC26,1923.9122807017543,OUT013
FDR14,-879.08,OUT010
NCS41,3009.5049504950493,OUT035
FDF41,3946.72131147541,OUT035
FDU34,1976.1923076923076,OUT046
DRH11,1059.7687074829932,OUT046
FDM03,1785.4095238095238,OUT013
FDS31,2932.3086419753085,OUT017
FDJ20,2136.4363636363637,OUT017
FDV44,4384.108695652174,OUT027
FDG02,3072.776119402985,OUT049
FDA09,2687.0365853658536,OUT013
FDT04,733.6923076923077,OUT013
FDL58,1835.7041420118344,OUT019
FDE52,1536.4107142857142,OUT045
FDW12,2506.4603174603176,OUT035
FDL51,3437.6090225563908,OUT017
NCY42,3412.3194444444443,OUT027
FDR07,1598.979020979021,OUT017
FDN40,2340.8275862068967,OUT045
FDB35,2978.6666666666665,OUT027
FDA22,2703.607843137255,OUT017
NCL06,4197.980582524272,OUT046
FDI35,2687.0365853658536,OUT013
NCW42,3647.076923076923,OUT045
NCX06,2877.542857142857,OUT049
FDC37,2978.6666666666665,OUT027
FDZ14,1719.2465753424658,OUT018
DRG49,3846.587155963303,OUT049
NCG06,4063.9067357512954,OUT045
DRC36,2764.5736434108526,OUT045
FDV21,70.48837209302326,OUT019
FDB53,2340.8275862068967,OUT046
DRP47,1835.7041420118344,OUT019
FDA14,2434.625,OUT013
DRC24,2506.4603174603176,OUT035
FDW21,1302.425,OUT018
NCH29,1639.8613861386139,OUT046
FDU58,2927.6256684491977,OUT013
FDY27,2932.3086419753085,OUT017
FDV56,1822.7721518987341,OUT035
FDT59,3761.318181818182,OUT046
FDB23,3647.076923076923,OUT046
FDR49,873.2517006802722,OUT045
FDB03,1835.7041420118344,OUT010
FDN39,2645.777777777778,OUT045
FDX02,5204.5931034482755,OUT027
FDQ16,2978.6666666666665,OUT027
FDU35,1302.425,OUT018
NCT29,2070.6603773584907,OUT013
FDZ27,873.2517006802722,OUT046
FDN57,2275.05325443787,OUT017
FDA03,2206.1565217391303,OUT018
FDZ36,3009.5049504950493,OUT045
NCU05,1420.0,OUT013
FDT39,2206.1565217391303,OUT018
FDK60,1598.979020979021,OUT017
FDZ25,2932.3086419753085,OUT017
FDG12,1976.1923076923076,OUT046
DRB01,1037.3128205128205,OUT019
NCC43,5204.5931034482755,OUT027
FDX13,1835.7041420118344,OUT019
FDM22,955.2878787878788,OUT049
FDJ03,2310.0,OUT027
FDU14,3946.72131147541,OUT018
FDB33,583.2967032967033,OUT010
FDP27,3072.776119402985,OUT046
FDO38,-879.08,OUT010
FDE28,5204.5931034482755,OUT027
FDO27,1598.979020979021,OUT035
DRL23,2978.6666666666665,OUT027
FDS28,955.2878787878788,OUT046
FDX24,1536.4107142857142,OUT013
FDZ02,1598.979020979021,OUT035
FDL46,1829.5238095238096,OUT045
FDS60,4384.108695652174,OUT027
NCO06,803.9830508474577,OUT017
FDO16,1420.0,OUT035
FDC60,1488.45,OUT049
FDA48,3437.6090225563908,OUT018
FDZ36,4384.108695652174,OUT027
FDK27,1976.1923076923076,OUT045
FDW23,478.0571428571429,OUT018
FDM14,1302.425,OUT018
FDM14,1785.4095238095238,OUT013
FDW60,2687.0365853658536,OUT018
FDE21,1923.9122807017543,OUT013
NCM42,1822.7721518987341,OUT035
FDY59,-354.29813664596276,OUT010
DRI49,1420.0,OUT049
FDT28,583.2967032967033,OUT019
FDQ22,478.0571428571429,OUT018
FDR60,1271.4333333333334,OUT049
FDC50,-354.29813664596276,OUT019
FDV24,2434.625,OUT013
DRF48,1037.3128205128205,OUT010
FDQ47,624.0194174757281,OUT046
DRN36,1639.8613861386139,OUT049
NCY06,2136.4363636363637,OUT035
FDE52,1536.4107142857142,OUT035
NCB54,1976.1923076923076,OUT045
NCF31,2506.4603174603176,OUT035
FDJ08,4384.108695652174,OUT027
NCC07,1822.7721518987341,OUT017
NCD19,2310.0,OUT027
FDL46,1923.9122807017543,OUT049
FDM20,3846.587155963303,OUT045
NCI06,1037.3128205128205,OUT010
DRM11,4063.9067357512954,OUT035
NCH07,2206.1565217391303,OUT018
FDS23,2070.6603773584907,OUT013
FDO49,478.0571428571429,OUT018
FDS35,940.2264150943396,OUT049
DRK39,1420.0,OUT045
