Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1706.255591054313,OUT049
FDW14,1454.225,OUT017
NCN55,1835.7041420118344,OUT010
FDQ58,2541.5403225806454,OUT017
FDY38,4231.08,OUT027
FDH56,1847.6083916083917,OUT046
FDL48,894.3380281690141,OUT018
FDC48,3191.0680272108843,OUT027
FDN33,1571.4980392156863,OUT045
FDA36,2967.277486910995,OUT017
FDT44,1962.9797297297298,OUT017
FDQ56,1454.225,OUT045
NCC54,1835.7041420118344,OUT019
FDU11,1962.9797297297298,OUT049
DRL59,894.3380281690141,OUT013
FDM24,2448.645962732919,OUT049
FDI57,3136.5602836879434,OUT045
DRC12,3032.9302325581393,OUT018
NCM42,3191.0680272108843,OUT027
FDA46,1037.3128205128205,OUT010
FDA31,2799.6589861751154,OUT013
NCJ31,3895.234693877551,OUT035
FDG52,785.9302325581396,OUT046
NCL19,70.48837209302326,OUT019
FDS10,2906.96174863388,OUT035
FDX22,1835.7041420118344,OUT010
NCF19,785.9302325581396,OUT035
NCE06,2541.5403225806454,OUT046
DRC27,3895.234693877551,OUT046
FDE21,1847.6083916083917,OUT035
NCR42,-1042.0196078431372,OUT019
FDX51,3136.5602836879434,OUT018
NCR06,719.1959798994975,OUT018
FDU31,4231.08,OUT027
FDU59,2641.1559633027523,OUT017
FDR03,4395.268571428572,OUT027
FDS49,3191.0680272108843,OUT027
FDD48,70.48837209302326,OUT010
NCF18,3032.9302325581393,OUT017
NCD43,3191.0680272108843,OUT027
NCD54,2338.356687898089,OUT018
FDY19,70.48837209302326,OUT010
NCY54,2718.625,OUT017
NCL19,2338.356687898089,OUT018
FDP23,1835.7041420118344,OUT010
FDC26,1847.6083916083917,OUT013
FDR14,-1042.0196078431372,OUT010
NCS41,2967.277486910995,OUT035
FDF41,3895.234693877551,OUT035
FDU34,1962.9797297297298,OUT046
DRH11,1009.6837944664031,OUT046
FDM03,1706.255591054313,OUT013
FDS31,2718.625,OUT017
FDJ20,1962.9797297297298,OUT017
FDV44,4395.268571428572,OUT027
FDG02,3032.9302325581393,OUT049
FDA09,2906.96174863388,OUT013
FDT04,719.1959798994975,OUT013
FDL58,1835.7041420118344,OUT019
FDE52,1571.4980392156863,OUT045
FDW12,2338.356687898089,OUT035
FDL51,3396.650485436893,OUT017
NCY42,3191.0680272108843,OUT027
FDR07,1571.4980392156863,OUT017
FDN40,2448.645962732919,OUT045
FDB35,3191.0680272108843,OUT027
FDA22,2641.1559633027523,OUT017
NCL06,4106.062256809339,OUT046
FDI35,2906.96174863388,OUT013
NCW42,3658.9,OUT045
NCX06,2906.96174863388,OUT049
FDC37,3191.0680272108843,OUT027
FDZ14,1962.9797297297298,OUT018
DRG49,3895.234693877551,OUT049
NCG06,4106.062256809339,OUT045
DRC36,2799.6589861751154,OUT045
FDV21,70.48837209302326,OUT019
FDB53,2377.4266666666667,OUT046
DRP47,1835.7041420118344,OUT019
FDA14,2338.356687898089,OUT013
DRC24,2448.645962732919,OUT035
FDW21,1302.425,OUT018
NCH29,1706.255591054313,OUT046
FDU58,3032.9302325581393,OUT013
FDY27,2718.625,OUT017
FDV56,1822.7721518987341,OUT035
FDT59,3658.9,OUT046
FDB23,3658.9,OUT046
FDR49,785.9302325581396,OUT045
FDB03,1835.7041420118344,OUT010
FDN39,2641.1559633027523,OUT045
FDX02,4231.08,OUT027
FDQ16,3191.0680272108843,OUT027
FDU35,1302.425,OUT018
NCT29,1962.9797297297298,OUT013
FDZ27,785.9302325581396,OUT046
FDN57,2243.2899408284025,OUT017
FDA03,2338.356687898089,OUT018
