Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1842.0,OUT049
FDW14,1574.0,OUT017
NCN55,1864.0,OUT010
FDQ58,2594.0,OUT017
FDY38,5178.0,OUT027
FDH56,1922.0,OUT046
FDL48,592.0,OUT018
FDC48,2778.0,OUT027
FDN33,1520.0,OUT045
FDA36,3090.0,OUT017
FDT44,2002.0,OUT017
FDQ56,1320.0,OUT045
NCC54,1856.0,OUT019
FDU11,2058.0,OUT049
DRL59,884.0,OUT013
FDM24,2554.0,OUT049
FDI57,3088.0,OUT045
DRC12,2758.0,OUT018
NCM42,3194.0,OUT027
FDA46,1128.0,OUT010
FDA31,2800.0,OUT013
NCJ31,3896.0,OUT035
FDG52,802.0,OUT046
NCL19,360.0,OUT019
FDS10,3032.0,OUT035
FDX22,1448.0,OUT010
NCF19,940.0,OUT035
NCE06,2538.0,OUT046
DRC27,3850.0,OUT046
FDE21,2040.0,OUT035
NCR42,-1364.0,OUT019
FDX51,2864.0,OUT018
NCR06,424.0,OUT018
FDU31,4942.0,OUT027
FDU59,2722.0,OUT017
FDR03,4750.0,OUT027
FDS49,2754.0,OUT027
FDD48,-80.0,OUT010
NCF18,3122.0,OUT017
NCD43,3098.0,OUT027
NCD54,1984.0,OUT018
FDY19,-48.0,OUT010
NCY54,2826.0,OUT017
NCL19,2014.0,OUT018
FDP23,1526.0,OUT010
FDC26,1820.0,OUT013
FDR14,-1036.0,OUT010
NCS41,3044.0,OUT035
FDF41,4068.0,OUT035
FDU34,1998.0,OUT046
DRH11,930.0,OUT046
FDM03,1732.0,OUT013
FDS31,3026.0,OUT017
FDJ20,2098.0,OUT017
FDV44,4490.0,OUT027
FDG02,3110.0,OUT049
FDA09,2920.0,OUT013
FDT04,672.0,OUT013
FDL58,2288.0,OUT019
FDE52,1448.0,OUT045
FDW12,2520.0,OUT035
FDL51,3554.0,OUT017
NCY42,3690.0,OUT027
FDR07,1666.0,OUT017
FDN40,2372.0,OUT045
FDB35,2954.0,OUT027
FDA22,2746.0,OUT017
NCL06,4110.0,OUT046
FDI35,2908.0,OUT013
NCW42,3416.0,OUT045
NCX06,2938.0,OUT049
FDC37,3198.0,OUT027
FDZ14,1730.0,OUT018
DRG49,3958.0,OUT049
NCG06,3960.0,OUT045
DRC36,2728.0,OUT045
FDV21,60.0,OUT019
FDB53,2354.0,OUT046
DRP47,2040.0,OUT019
FDA14,2344.0,OUT013
DRC24,2584.0,OUT035
FDW21,1402.0,OUT018
NCH29,1554.0,OUT046
FDU58,3072.0,OUT013
FDY27,2942.0,OUT017
FDV56,1964.0,OUT035
FDT59,3654.0,OUT046
FDB23,3614.0,OUT046
FDR49,704.0,OUT045
FDB03,1906.0,OUT010
FDN39,2612.0,OUT045
FDX02,4982.0,OUT027
FDQ16,3190.0,OUT027
FDU35,1328.0,OUT018
NCT29,1956.0,OUT013
FDZ27,818.0,OUT046
FDN57,2354.0,OUT017
FDA03,2086.0,OUT018
FDZ36,2928.0,OUT045
NCU05,1320.0,OUT013
FDT39,2186.0,OUT018
FDK60,1714.0,OUT017
FDZ25,2850.0,OUT017
FDG12,2014.0,OUT046
DRB01,1112.0,OUT019
NCC43,5374.0,OUT027
FDX13,2028.0,OUT019
FDM22,1026.0,OUT049
FDJ03,2306.0,OUT027
FDU14,3664.0,OUT018
FDB33,622.0,OUT010
FDP27,3014.0,OUT046
FDO38,-680.0,OUT010
FDE28,5142.0,OUT027
FDO27,1720.0,OUT035
DRL23,3170.0,OUT027
FDS28,966.0,OUT046
FDX24,1536.0,OUT013
FDZ02,1764.0,OUT035
FDL46,1816.0,OUT045
FDS60,4294.0,OUT027
NCO06,642.0,OUT017
FDO16,1548.0,OUT035
FDC60,1550.0,OUT049
FDA48,3196.0,OUT018
FDZ36,4446.0,OUT027
FDK27,1888.0,OUT045
FDW23,384.0,OUT018
FDM14,1504.0,OUT018
FDM14,1780.0,OUT013
FDW60,2600.0,OUT018
FDE21,1904.0,OUT013
NCM42,1904.0,OUT035
FDY59,-392.0,OUT010
DRI49,1382.0,OUT049
FDT28,508.0,OUT019
FDQ22,402.0,OUT018
FDR60,1334.0,OUT049
FDC50,-396.0,OUT019
FDV24,2444.0,OUT013
DRF48,1060.0,OUT010
FDQ47,650.0,OUT046
DRN36,1658.0,OUT049
NCY06,2188.0,OUT035
FDE52,1660.0,OUT035
NCB54,1952.0,OUT045
NCF31,2572.0,OUT035
FDJ08,4450.0,OUT027
NCC07,1794.0,OUT017
NCD19,2326.0,OUT027
FDL46,2002.0,OUT049
FDM20,3836.0,OUT045
NCI06,916.0,OUT010
DRM11,4240.0,OUT035
NCH07,2210.0,OUT018
FDS23,2088.0,OUT013
FDO49,592.0,OUT018
FDS35,1166.0,OUT049
DRK39,1272.0,OUT045
DRI39,1042.0,OUT049
FDV04,2650.0,OUT017
NCN14,3020.0,OUT035
FDH08,3692.0,OUT013
FDS20,2910.0,OUT046
FDV40,1338.0,OUT049
FDZ48,-154.0,OUT010
FDS24,2910.0,OUT027
FDK44,2854.0,OUT049
FDS48,2336.0,OUT045
FDK26,1094.0,OUT010
FDD23,2976.0,OUT045
NCH54,2650.0,OUT017
NCP14,-252.0,OUT010
FDM60,-1208.0,OUT010
FDV24,2518.0,OUT017
FDH08,3352.0,OUT018
FDS12,3470.0,OUT027
FDR39,4314.0,OUT027
